ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
1238,Sivakumar.P,THIRU-VI-KA-NAGAR (SC),DMK,15,2 Crore+,43 Lac+,TAMIL NADU,Post Graduate
1239,Suresh Singh Chauhan,GANGOTRI,BJP,0,11 Lac+,0,UTTARAKHAND,12th Pass
1240,Brajakishore Pradhan,TALCHER,BJD,29,20 Lac+,0,ODISHA,12th Pass
1241,Sudhirbhai Vaghani,GARIADHAR,AAP,0,19 Lac+,0,GUJARAT,8th Pass
1242,Khabad Bachubhai Maganbhai,DEVGADHBARIA,BJP,0,0,0,GUJARAT,10th Pass
1243,N Venkate Gowda,PALAMANER,YSRCP,0,20 Crore+,5 Crore+,ANDHRA PRADESH,8th Pass
1244,Santanu Pramanik,KHEJURI (SC),BJP,0,10 Lac+,61 Thou+,WEST BENGAL,Post Graduate
1245,Haribhushan Thakur,BISFI,BJP,1,1 Crore+,6 Lac+,BIHAR,Graduate
1246,Pandurang Nivrutti Patil,KARVIR,INC,2,5 Crore+,1 Lac+,MAHARASHTRA,8th Pass
1247,Lalit Narayan Mandal,SULTANGANJ,JD(U),0,1 Crore+,0,BIHAR,Doctorate
1248,Budh Ram,BUDHLADA (SC),AAP,1,1 Crore+,0,PUNJAB,Post Graduate
1249,Murali,MANALUR,CPI(M),0,36 Lac+,7 Lac+,KERALA,Graduate
1250,Gulab Debi,CHANDAUSI (SC),BJP,0,2 Crore+,4 Lac+,UTTAR PRADESH,Post Graduate
1251,Temjenmenba,JANGPETKONG (ST),NDPP,0,1 Crore+,27 Lac+,NAGALAND,Post Graduate
1252,Om Prakash,ZAMANIA,SP,6,5 Crore+,0,UTTAR PRADESH,Post Graduate
1253,Rajesh Kumar S,KILLIYOOR,INC,52,2 Crore+,24 Lac+,TAMIL NADU,Post Graduate
1254,Narayan Singh Kushwah,GWALIOR SOUTH,BJP,0,1 Crore+,6 Lac+,MADHYA PRADESH,12th Pass
1255,Chinnappa K,ARIYALUR,DMK,4,1 Crore+,29 Lac+,TAMIL NADU,Graduate Professional
1256,Dabbu Siddharth Sukhlal Kushwaha,SATNA,INC,0,1 Crore+,24 Lac+,MADHYA PRADESH,Graduate
1257,Nisith Pramanik,DINHATA,BJP,13,60 Lac+,0,WEST BENGAL,10th Pass
1258,Omprakash Sakhlecha,JAWAD,BJP,1,7 Crore+,44 Lac+,MADHYA PRADESH,Graduate
1259,Kanwar Pal,JAGADHARI,BJP,0,4 Crore+,40 Lac+,HARYANA,12th Pass
1260,Partap Singh Bajwa,QADIAN,INC,0,36 Crore+,1 Crore+,PUNJAB,Graduate
1261,Nirmal Kumar Dhara,INDUS (SC),BJP,0,0,0,WEST BENGAL,Post Graduate
1262,Awadhesh Kumar Singh,PINDRA,BJP,0,7 Crore+,33 Lac+,UTTAR PRADESH,Doctorate
1263,Kapil Dev Agarwal,MUZAFFAR NAGAR,BJP,7,0,74 Lac+,UTTAR PRADESH,Graduate
1264,Dr.Chandru Lamani,SHIRAHATTI (SC),BJP,1,0,4 Crore+,KARNATAKA,Post Graduate
1265,Kailash Chand Verma,BAGRU (SC),BJP,2,1 Crore+,88 Lac+,RAJASTHAN,Doctorate
1266,Ram Naresh Agnihotri,BHONGAON,BJP,3,9 Crore+,8 Lac+,UTTAR PRADESH,Graduate Professional
1267,Kuldeep Bishnoi,ADAMPUR,INC,0,105 Crore+,10 Crore+,HARYANA,Graduate
1268,Som Dutt,SADAR BAZAR,AAP,1,11 Lac+,0,DELHI,Graduate
1269,Conrad Kongkal Sangma,SOUTH TURA (ST),NPP,0,14 Crore+,24 Lac+,MEGHALAYA,Post Graduate
1270,Sushant Shukla,BELTARA,BJP,1,4 Crore+,1 Crore+,CHHATTISGARH,12th Pass
1271,Dr. H D Ranganath,KUNIGAL,INC,8,38 Crore+,11 Crore+,KARNATAKA,Post Graduate
1272,Durgeshwar Lal,PUROLA (SC),BJP,1,6 Lac+,0,UTTARAKHAND,12th Pass
1273,Pratap Singh Singhvi,CHHABRA,BJP,0,10 Crore+,22 Lac+,RAJASTHAN,8th Pass
1274,Ram Prasad Paul,SURYAMANINAGAR,BJP,0,1 Crore+,20 Lac+,TRIPURA,8th Pass
1275,Satyapal Singh Rathore,ALIGANJ,BJP,1,7 Crore+,0,UTTAR PRADESH,10th Pass
1276,Raut Sunil Rajaram,VIKHROLI,SHS,3,5 Crore+,1 Crore+,MAHARASHTRA,12th Pass
1277,Rakkam A. Sangma,RONGARA SIJU (ST),NPP,0,1 Crore+,8 Lac+,MEGHALAYA,Post Graduate
1278,Dr. Shailendra Beldale,BIDAR SOUTH,BJP,1,4 Crore+,2 Crore+,KARNATAKA,Graduate Professional
1279,Suresh Modi,NEEM KA THANA,INC,1,14 Crore+,0,RAJASTHAN,Graduate Professional
1280,Surendra Kumar,GOKALPUR,AAP,4,9 Crore+,3 Crore+,DELHI,10th Pass
1281,Pankaj Kumar Malik,CHARTHAWAL,SP,1,6 Crore+,41 Lac+,UTTAR PRADESH,Graduate Professional
1282,Pradeep Kumar Chaudhary,BULANDSHAHR,BJP,1,4 Crore+,0,UTTAR PRADESH,12th Pass
1283,Thoguru Arthur,NANDIKOTKUR,YSRCP,0,1 Crore+,77 Lac+,ANDHRA PRADESH,Graduate
1284,Saravanan.P.S.T,KALASAPAKKAM,DMK,1,4 Crore+,47 Lac+,TAMIL NADU,Post Graduate
1285,Brijmohan Agrawal,RAIPUR CITY SOUTH,BJP,0,17 Crore+,98 Lac+,CHHATTISGARH,Post Graduate
1286,Monica Rajeev Rajale,SHEVGAON,BJP,0,9 Crore+,1 Crore+,MAHARASHTRA,Graduate
1287,Om Prakash Yadav,NARNAUL,BJP,0,1 Crore+,62 Lac+,HARYANA,Graduate
1288,R. Rajendran,SALEM NORTH,DMK,16,2 Crore+,8 Lac+,TAMIL NADU,Graduate Professional
1289,Sreenivasan.C,DINDIGUL,AIADMK,0,0,0,TAMIL NADU,Post Graduate
1290,Krishna V. Salkar,VASCO-DA-GAMA,BJP,1,5 Crore+,7 Lac+,GOA,Graduate
1291,Kurasala Kannababu,KAKINADA RURAL,YSRCP,3,85 Lac+,16 Lac+,ANDHRA PRADESH,Post Graduate
1292,H. C. Balakrishna,MAGADI,INC,2,35 Crore+,12 Crore+,KARNATAKA,Graduate Professional
1293,Dr Arun Kumar,BAREILLY,BJP,0,14 Crore+,0,UTTAR PRADESH,Graduate Professional
1294,Sharanabasappa Darshanapur,SHAHAPUR,INC,0,15 Crore+,91 Lac+,KARNATAKA,Graduate Professional
1295,Kargatiya Bhagvanjibhai Lakhabhai,MANGROL,BJP,0,1 Crore+,0,GUJARAT,10th Pass
1296,Priyakrishna,GOVINDARAJANAGAR,INC,1,1156 Crore+,881 Crore+,KARNATAKA,Post Graduate
1297,Maddali Giridhara Rao,GUNTUR WEST,TDP,0,49 Crore+,13 Crore+,ANDHRA PRADESH,Graduate
1298,Talem Taboh,RUMGONG,JD(U),0,9 Crore+,0,ARUNACHAL PRADESH,Graduate Professional
1299,Umakant Singh,CHANPATIA,BJP,0,15 Crore+,8 Crore+,BIHAR,10th Pass
1300,Krishan Kumar Mantoo,AMNOUR,BJP,9,7 Crore+,4 Crore+,BIHAR,10th Pass
1301,Nilabati Saha,SAINTHIA (SC),AITC,0,1 Crore+,4 Lac+,WEST BENGAL,Graduate
1302,Karikho Kri,TEZU,IND,5,18 Crore+,74 Thou+,ARUNACHAL PRADESH,10th Pass
1303,Sankar Kumar Naskar,FALTA,AITC,0,1 Crore+,0,WEST BENGAL,8th Pass
1304,Neelesh Pusaram Uikey,PANDHURNA (ST),INC,1,1 Crore+,2 Lac+,MADHYA PRADESH,Graduate
1305,Ashok,HINDOLI,INC,3,28 Crore+,24 Crore+,RAJASTHAN,Post Graduate
1306,Agrawal Vinod Santoshkumar,GONDIA,IND,2,0,36 Lac+,MAHARASHTRA,12th Pass
1307,Balwant Baswant Wankhade,DARYAPUR (SC),INC,1,1 Crore+,4 Lac+,MAHARASHTRA,12th Pass
1308,Naresh Kataria,ZIRA,AAP,2,3 Crore+,13 Lac+,PUNJAB,10th Pass
1309,Biswajit Phukan,SARUPATHAR,BJP,0,10 Crore+,5 Crore+,ASSAM,Post Graduate
1310,Mane Yashwant Vitthal,MOHOL (SC),NCP,0,12 Crore+,10 Crore+,MAHARASHTRA,Graduate
1311,Ghanshyam Dass,YAMUNANAGAR,BJP,0,0,69 Lac+,HARYANA,Graduate Professional
1312,Sudesh Rai,SEHORE,BJP,0,74 Crore+,2 Crore+,MADHYA PRADESH,Graduate Professional
1313,Kuldeep Singh Rathore,THEOG,INC,8,4 Crore+,0,HIMACHAL PRADESH,Post Graduate
1314,S Rajakumar,MAYILADUTHURAI,INC,1,8 Crore+,26 Lac+,TAMIL NADU,Post Graduate
1315,Anil Vij,AMBALA CANTT,BJP,0,1 Crore+,13 Lac+,HARYANA,Graduate
1316,N.Ramakrishnan,CUMBUM,DMK,7,7 Crore+,1 Lac+,TAMIL NADU,Post Graduate
1317,Harsh Ramesh Sanghvi,MAJURA,BJP,1,17 Crore+,8 Crore+,GUJARAT,8th Pass
1318,Bikram Singh,JASWAN-PRAGPUR,BJP,0,2 Crore+,54 Lac+,HIMACHAL PRADESH,Graduate Professional
1319,Sudharsanam. S,MADHAVARAM,DMK,22,37 Crore+,6 Crore+,TAMIL NADU,Post Graduate
1320,Mahendra Nath Yadav,BASTI SADAR,SP,13,0,0,UTTAR PRADESH,Post Graduate
1321,Saroj Sonkar,BALHA (SC),BJP,0,2 Crore+,12 Lac+,UTTAR PRADESH,Post Graduate
1322,Surendra Maithani,GOVINDNAGAR,BJP,2,10 Crore+,72 Lac+,UTTAR PRADESH,Graduate Professional
1323,Dr. Saptarshi Banerjee,BASIRHAT DAKSHIN,AITC,0,6 Crore+,10 Lac+,WEST BENGAL,Post Graduate
1324,Keshav Singh Desai,GOHAD (SC),INC,1,1 Crore+,0,MADHYA PRADESH,10th Pass
1325,Bawan Singh,KATRA BAZAR,BJP,1,5 Crore+,84 Lac+,UTTAR PRADESH,Graduate
1326,Nisha Singh,PRANPUR,BJP,0,2 Crore+,27 Lac+,BIHAR,Graduate
1327,Rajesh Nagar,TIGAON,BJP,0,10 Crore+,2 Crore+,HARYANA,12th Pass
1328,Lakheshwar Baghel,BASTAR (ST),INC,0,0,87 Lac+,CHHATTISGARH,Graduate
1329,Udhayakumar R B,THIRUMANGALAM,AIADMK,0,1 Crore+,0,TAMIL NADU,Post Graduate
1330,Manohar Lal,MEHRONI (SC),BJP,3,15 Crore+,0,UTTAR PRADESH,12th Pass
1331,Puthai Longon,NOKLAK (ST),NCP,0,4 Crore+,0,NAGALAND,Graduate
1332,Antony John,KOTHAMANGALAM,CPI(M),0,1 Crore+,28 Lac+,KERALA,Graduate
1333,Bhabesh Kalita,RANGIYA,BJP,0,1 Crore+,34 Lac+,ASSAM,Graduate Professional
1334,Madan Singh Bisht,DWARAHAT,INC,0,1 Crore+,1 Lac+,UTTARAKHAND,Graduate Professional
1335,Ravi Subramanya L.A.,BASAVANAGUDI,BJP,1,10 Crore+,5 Crore+,KARNATAKA,Post Graduate
1336,Yogendra Singh Baba,LAKHNADON (ST),INC,0,2 Crore+,60 Thou+,MADHYA PRADESH,Post Graduate
1337,Manju Agrawal,SHERGHATI,RJD,4,4 Crore+,0,BIHAR,Graduate Professional
1338,Manappa D Vajjal,LINGSUGUR (SC),BJP,0,30 Crore+,0,KARNATAKA,5th Pass
1339,Bidhan Upadhyay,BARABANI,AITC,1,4 Crore+,1 Crore+,WEST BENGAL,12th Pass
1340,Anila Bhendia,DONDI LOHARA (ST),INC,0,7 Crore+,96 Lac+,CHHATTISGARH,Post Graduate
1341,Kisan Shankar Kathore,MURBAD,BJP,1,10 Crore+,13 Lac+,MAHARASHTRA,10th Pass
1342,Prem Nrayan Pandey,TARABGANJ,BJP,1,1 Crore+,12 Lac+,UTTAR PRADESH,12th Pass
1343,Chander Shekhar,DHARAMPUR,INC,1,45 Lac+,4 Lac+,HIMACHAL PRADESH,Graduate Professional
1344,Narinder Kaur Bharaj,SANGRUR,AAP,1,24 Thou+,0,PUNJAB,Graduate Professional
1345,Ajay,COLONELGANJ,BJP,1,12 Crore+,2 Crore+,UTTAR PRADESH,Post Graduate
1346,Engineer Narendra Prajapati,MANGAWAN (SC),BJP,0,53 Lac+,0,MADHYA PRADESH,Graduate Professional
1347,Katakadhond Vitthal Dondiba,NAGTHAN (SC),INC,1,6 Crore+,20 Lac+,KARNATAKA,12th Pass
1348,Nauksham,KAMAN,BJP,0,2 Lac+,0,RAJASTHAN,Post Graduate
1349,Sangeeta Sinha,SANJARI BALOD,INC,0,5 Crore+,54 Lac+,CHHATTISGARH,Graduate
1350,Kottagulli Bhagya Lakshmi,PADERU,YSRCP,0,56 Lac+,32 Lac+,ANDHRA PRADESH,Post Graduate
1351,Mohinder Goyal,RITHALA,AAP,1,4 Crore+,2 Lac+,DELHI,10th Pass
1352,Chhanga Trikam Bijal,ANJAR,BJP,0,99 Lac+,4 Lac+,GUJARAT,Graduate Professional
1353,Nitin Nabin,BANKIPUR,BJP,5,1 Crore+,24 Thou+,BIHAR,12th Pass
1354,Dr. Suresh Audimulapu,YERRAGONDAPALEM,YSRCP,2,16 Crore+,2 Crore+,ANDHRA PRADESH,Doctorate
1355,Poluboina Anil Kumar,NELLORE CITY,YSRCP,2,0,96 Lac+,ANDHRA PRADESH,Graduate Professional
1356,Raja Venkatappa Naik,SHORAPUR (ST),INC,6,23 Crore+,79 Lac+,KARNATAKA,12th Pass
1357,Sudhir Kumar Samal,DHENKANAL,BJD,6,14 Crore+,2 Crore+,ODISHA,8th Pass
1358,Dr. Chandrakant Shetye,BICHOLIM,IND,0,59 Crore+,3 Crore+,GOA,Post Graduate
1359,Michael Vincent Lobo,CALANGUTE,INC,3,92 Crore+,28 Crore+,GOA,12th Pass
1360,Kamleshbhai Rameshbhai Patel,PETLAD,BJP,0,1 Crore+,0,GUJARAT,Post Graduate
1361,Sudhanshu Shekhar,HARLAKHI,JD(U),0,77 Lac+,0,BIHAR,Graduate
1362,Natham.R.Viswanathan,NATHAM,AIADMK,3,4 Crore+,0,TAMIL NADU,Graduate
1363,Anandan M S M,PALLADAM,AIADMK,0,0,1 Crore+,TAMIL NADU,10th Pass
1364,Sushil Kumar Shakya,AMRITPUR,BJP,0,2 Crore+,31 Lac+,UTTAR PRADESH,12th Pass
1365,Suresh Damu Bhole,JALGAON CITY,BJP,5,22 Crore+,3 Crore+,MAHARASHTRA,Graduate
1366,Anbalagan.K.P.,PALACODE,AIADMK,0,18 Crore+,15 Crore+,TAMIL NADU,12th Pass
1367,Ekade Rajesh Panditrao,MALKAPUR,INC,2,1 Crore+,32 Lac+,MAHARASHTRA,12th Pass
1368,Padma Hazarika,SOOTEA,BJP,1,10 Crore+,1 Crore+,ASSAM,12th Pass
1369,A Dhanwati Chandela A,RAJOURI GARDEN,AAP,0,0,98 Lac+,DELHI,10th Pass
1370,K Tokugha Sukhalu,ZUNHEBOTO (ST),NDPP,0,0,0,NAGALAND,Post Graduate
1371,Chaitanyasinh Pratapsinh Zala,PADRA,BJP,1,70 Lac+,27 Thou+,GUJARAT,Graduate Professional
1372,Abhilash Pandey,JABALPUR UTTAR,BJP,1,6 Crore+,0,MADHYA PRADESH,Doctorate
1373,Abdul Batin Khandakar,ABHAYAPURI NORTH,INC,0,1 Crore+,27 Lac+,ASSAM,Graduate Professional
1374,Basan Gouda Turvihal,MASKI (ST),INC,1,2 Crore+,31 Lac+,KARNATAKA,10th Pass
1375,Jmh.Aassan Maulaana,VELACHERY,INC,5,11 Crore+,0,TAMIL NADU,Post Graduate
1376,Bhumare Sandipanrao Asaram,PAITHAN,SHS,9,2 Crore+,22 Lac+,MAHARASHTRA,10th Pass
1377,Inderbir Singh Nijjar,AMRITSAR SOUTH,AAP,1,36 Crore+,40 Lac+,PUNJAB,Post Graduate
1378,Mekapati Chandra Sekhar Reddy,UDAYAGIRI,YSRCP,0,18 Crore+,1 Crore+,ANDHRA PRADESH,12th Pass
1379,Sena Mahesh Patel,JOBAT (ST),INC,2,4 Crore+,75 Lac+,MADHYA PRADESH,Graduate
1380,Arvindbhai Jinabhai Ladani,MANAVADAR,INC,0,96 Lac+,3 Lac+,GUJARAT,12th Pass
1381,Gyanendra Kumar Singh,BARH,BJP,1,4 Crore+,27 Lac+,BIHAR,Graduate
1382,Laljit Singh Rathia,DHARAMJAIGARH (ST),INC,0,1 Crore+,93 Lac+,CHHATTISGARH,Post Graduate
1383,Kedar Jayprakash Naik,SALIGAO,INC,1,4 Crore+,1 Crore+,GOA,Graduate
1384,S.Regupathy,THIRUMAYAM,DMK,23,0,9 Lac+,TAMIL NADU,Graduate Professional
1385,Vijay Revnath Chore,SAUNSAR,INC,0,1 Crore+,67 Lac+,MADHYA PRADESH,12th Pass
1386,H. D. Thammaiah,CHICKAMAGALUR,INC,0,6 Crore+,2 Crore+,KARNATAKA,12th Pass
1387,Arjun Lal Jingar,KAPASAN (SC),BJP,0,2 Crore+,27 Lac+,RAJASTHAN,Post Graduate
1388,Jayant Malaiya,DAMOH,BJP,1,39 Crore+,47 Lac+,MADHYA PRADESH,Graduate Professional
1389,Ramesh Tawadkar,CANACONA,BJP,1,1 Crore+,40 Lac+,GOA,Graduate Professional
1390,Amrendra Kumar Pandey,KUCHAIKOTE,JD(U),11,0,93 Lac+,BIHAR,12th Pass
1391,Rajesh Kachhap,KHIJRI (ST),INC,0,2 Crore+,12 Lac+,JHARKHAND,Graduate
1392,Jakir Hossain,JANGIPUR,AITC,0,67 Crore+,6 Crore+,WEST BENGAL,10th Pass
1393,Narayan Singh Panwar,BIAORA,BJP,1,0,36 Lac+,MADHYA PRADESH,12th Pass
1394,Rajib Lochan Saren,BANDWAN (ST),AITC,0,0,20 Lac+,WEST BENGAL,Graduate Professional
1395,Manoj Tewari,ALMORA,INC,0,2 Crore+,0,UTTARAKHAND,Graduate
1396,Gurlal Ghanaur,GHANAUR,AAP,0,2 Crore+,25 Lac+,PUNJAB,12th Pass
1397,Adhikari Mangobinda,BHATAR,AITC,11,41 Lac+,90 Thou+,WEST BENGAL,12th Pass
1398,Kinikar Balaji Pralhad,AMBARNATH (SC),SHS,0,9 Crore+,1 Crore+,MAHARASHTRA,Graduate Professional
1399,Tongpang Ozukum,ANGETYONGPANG (ST),NDPP,0,2 Crore+,0,NAGALAND,Graduate
1400,Manoj Kumar Oraon,KUMARGRAM (ST),BJP,0,26 Lac+,0,WEST BENGAL,Graduate Professional
1401,A.P.Nandakumar,ANAIKATTU,DMK,10,26 Crore+,7 Crore+,TAMIL NADU,12th Pass
1402,Manish Jaiswal,HAZARIBAGH,BJP,1,27 Crore+,5 Crore+,JHARKHAND,Graduate
1403,Virendrasinh Bahadursinh Jadeja,RAPAR,BJP,0,4 Crore+,50 Lac+,GUJARAT,8th Pass
1404,Xavier Chittilappilly,WADAKKANCHERY,CPI(M),10,42 Lac+,0,KERALA,8th Pass
1405,Karan Singh Verma,ICHHAWAR,BJP,0,0,23 Lac+,MADHYA PRADESH,12th Pass
1406,Abdur Rahim Quazi,BADURIA,AITC,1,43 Lac+,0,WEST BENGAL,Post Graduate
1407,Niral Purty,MAJHGAON (ST),JMM,0,1 Crore+,0,JHARKHAND,12th Pass
1408,Prahlad Singh Patel,NARSINGPUR,BJP,0,8 Crore+,1 Crore+,MADHYA PRADESH,Graduate Professional
1409,Abhay Singh,GOSHAINGANJ,SP,10,6 Crore+,36 Lac+,UTTAR PRADESH,Graduate
1410,Narendra Kumar Niraj,GOPALPUR,JD(U),3,0,0,BIHAR,Graduate
1411,Ramesh Chennithala,HARIPAD,INC,7,3 Crore+,2 Crore+,KERALA,Graduate
1412,Jai Devi,MALIHABAD (SC),BJP,0,7 Crore+,0,UTTAR PRADESH,Literate
1413,Venzy Viegas,BENAULIM,AAP,0,5 Crore+,5 Lac+,GOA,Others
1414,Akash Pandurang Fundkar,KHAMGAON,BJP,1,7 Crore+,70 Lac+,MAHARASHTRA,Graduate Professional
1415,Gudiya Katheriya,AURAIYA (SC),BJP,0,10 Lac+,0,UTTAR PRADESH,8th Pass
1416,Kamlesh Pratap Shah,AMARWARA (ST),INC,0,16 Crore+,3 Crore+,MADHYA PRADESH,10th Pass
1417,Badal,JARMUNDI,INC,0,34 Lac+,1 Lac+,JHARKHAND,12th Pass
1418,Mahesh Parmar,TARANA (SC),INC,8,2 Crore+,79 Lac+,MADHYA PRADESH,Post Graduate
1419,Prahlad Lodhi,PAWAI,BJP,3,56 Lac+,10 Lac+,MADHYA PRADESH,8th Pass
1420,Shanthana Gowda.D.G.,HONNALI,INC,2,20 Crore+,4 Crore+,KARNATAKA,8th Pass
1421,Balmukundachary,HAWA MAHAL,BJP,2,77 Lac+,20 Lac+,RAJASTHAN,Literate
1422,Saurabh Singh,KASTA (SC),BJP,0,1 Crore+,4 Lac+,UTTAR PRADESH,Post Graduate
1423,Vinod Sultanpuri,KASAULI (SC),INC,0,5 Crore+,32 Lac+,HIMACHAL PRADESH,Graduate
1424,Satyendar Jain,SHAKUR BASTI,AAP,2,8 Crore+,74 Lac+,DELHI,Graduate
1425,Gabriel Denwang Wangsu,KANUBARI,BJP,0,1 Crore+,0,ARUNACHAL PRADESH,Graduate
1426,Velam Palli Srinivasa Rao,VIJAYWADA WEST,YSRCP,2,10 Crore+,2 Crore+,ANDHRA PRADESH,10th Pass
1427,Akhilesh Yadav,KARHAL,SP,1,40 Crore+,43 Lac+,UTTAR PRADESH,Graduate Professional
1428,Mahendra Nagesh,GOTEGAON (SC),BJP,0,3 Crore+,15 Lac+,MADHYA PRADESH,12th Pass
1429,Arjun Lal,BILARA (SC),BJP,0,3 Crore+,18 Lac+,RAJASTHAN,Others
1430,Sukhjinder Singh Randhawa,DERA BABA NANAK,INC,0,5 Crore+,15 Lac+,PUNJAB,12th Pass
1431,Rikesh Sen,VAISHALI NAGAR,BJP,2,0,7 Lac+,CHHATTISGARH,12th Pass
1432,Kalusingh Thakur,DHARAMPURI (ST),BJP,0,2 Crore+,8 Lac+,MADHYA PRADESH,8th Pass
1433,Ramkrishna Ghosh,HOJAI,BJP,0,16 Lac+,0,ASSAM,Post Graduate
1434,A Kiran Kumar Kodgi,KUNDAPUR,BJP,0,19 Crore+,1 Crore+,KARNATAKA,Graduate
1435,Ajay Solanki,NAHAN,INC,2,1 Crore+,0,HIMACHAL PRADESH,12th Pass
1436,Surendra Singh Rathore,KUMBHALGARH,BJP,1,5 Crore+,1 Crore+,RAJASTHAN,12th Pass
1437,Sarvesh Singh,SIRSAGANJ,SP,0,2 Crore+,45 Lac+,UTTAR PRADESH,12th Pass
1438,Sumit Godara,LUNKARANSAR,BJP,0,3 Crore+,7 Lac+,RAJASTHAN,Post Graduate
1439,Ahir Hemantbhai Hardasbhai,JAMJODHPUR,AAP,0,2 Crore+,14 Lac+,GUJARAT,10th Pass
1440,Srikanta Mahata,SALBONI,AITC,3,82 Lac+,27 Lac+,WEST BENGAL,Graduate
1441,Sunil Chandrakant Bhuasara,VEKRAMGRTH (ST),NCP,2,82 Lac+,55 Lac+,MAHARASHTRA,12th Pass
1442,Laxman Singh Yadav,KOSLI,BJP,0,3 Crore+,57 Lac+,HARYANA,10th Pass
1443,Usha Devi,CHIKITI,BJD,0,1 Crore+,6 Lac+,ODISHA,10th Pass
1444,Dr. Manik Bhattacharya,PALASHIPARA,AITC,0,2 Crore+,0,WEST BENGAL,Doctorate
1445,Karumanickam,TIRUVADANAI,INC,0,3 Crore+,0,TAMIL NADU,Graduate Professional
1446,S. Toiho Yeptho,SURUHUTO (ST),NCP,0,7 Crore+,0,NAGALAND,Graduate
1447,Mahendra Hardia,INDORE-5,BJP,0,7 Crore+,1 Crore+,MADHYA PRADESH,Post Graduate
1448,Arundhuti Maitra (Lovely),SONARPUR DAKSHIN,AITC,0,90 Lac+,0,WEST BENGAL,Graduate
1449,Ram Achal Rajbhar,AKBARPUR,SP,4,1 Crore+,0,UTTAR PRADESH,Graduate
1450,Dr. Raghuvir Singh Kadian,BERI,INC,0,16 Crore+,1 Crore+,HARYANA,Doctorate
1451,Praveen Patel,PHULPUR,BJP,1,40 Crore+,2 Crore+,UTTAR PRADESH,Post Graduate
1452,Montu Solanki,SENDHWA (ST),INC,4,39 Lac+,28 Lac+,MADHYA PRADESH,12th Pass
1453,Shashi Bhusan Behera,KENDRAPARA,BJD,0,1 Crore+,1 Lac+,ODISHA,Graduate
1454,Dipak Pralhad Chavan,PHALTAN (SC),NCP,1,83 Lac+,69 Lac+,MAHARASHTRA,Post Graduate
1455,Bagde Haribhau Kisanrao,PHOLAMBARI,BJP,3,25 Crore+,1 Crore+,MAHARASHTRA,10th Pass
1456,Labh Singh Ugoke,BHADAUR (SC),AAP,0,3 Lac+,0,PUNJAB,12th Pass
1457,H. Tovihoto Ayemi,DIMAPUR-I,BJP,0,9 Crore+,33 Lac+,NAGALAND,Graduate
1458,K.A. Pandian,CHIDAMBARAM,AIADMK,0,6 Crore+,1 Crore+,TAMIL NADU,Post Graduate
1459,Yeluri Samba Siva Rao,PARCHUR,TDP,0,41 Crore+,48 Lac+,ANDHRA PRADESH,Post Graduate
1460,Paresh Paul,BELEGHATA,AITC,3,4 Crore+,0,WEST BENGAL,Graduate
1461,Tinku Roy,CHANDIPUR,BJP,0,4 Crore+,50 Lac+,TRIPURA,12th Pass
1462,Taraprasad Bahinipati,JEYPORE,INC,13,2 Crore+,20 Lac+,ODISHA,10th Pass
1463,Balaji Devidasrao Kalyankar,NANDED NORTH,SHS,2,1 Crore+,50 Lac+,MAHARASHTRA,12th Pass
1464,S.T. Somashekar,YESHWANTHAPURA,BJP,1,27 Crore+,3 Crore+,KARNATAKA,Graduate
1465,Biplab Mitra,HARIRAMPUR,AITC,0,2 Crore+,9 Lac+,WEST BENGAL,Graduate Professional
1466,T.M.Tamilselvam,UTHANGARAI (SC),AIADMK,0,45 Lac+,0,TAMIL NADU,10th Pass
1467,Kishor Kanani (Kumar),VARACHHA ROAD,BJP,0,1 Crore+,10 Lac+,GUJARAT,8th Pass
1468,Prof. Baljinder Kaur,TALWANDI SABO,AAP,3,1 Crore+,60 Thou+,PUNJAB,Post Graduate
1469,Mhathung Yanthan,SANIS (ST),NDPP,0,8 Crore+,0,NAGALAND,Post Graduate
1470,Dr.Jayrambhai Chemabhai Gamit,NIZAR (ST),BJP,0,46 Lac+,1 Lac+,GUJARAT,Doctorate
1471,Prakash Sundarrao Solanke,MAJALGAON,NCP,0,11 Crore+,15 Lac+,MAHARASHTRA,Graduate
1472,Surajit Datta,RAMNAGAR,BJP,0,97 Lac+,13 Lac+,TRIPURA,12th Pass
1473,Kusum Tete,SUNDARGARH,BJP,0,0,83 Lac+,ODISHA,Graduate
1474,Rajeev Kumar,DHANAURA (SC),BJP,0,1 Crore+,14 Lac+,UTTAR PRADESH,Post Graduate
1475,Radha Singh,CHITRANGI (ST),BJP,0,6 Crore+,0,MADHYA PRADESH,Post Graduate
1476,Girish Soni,MADIPUR,AAP,0,0,2 Lac+,DELHI,Others
1477,Bharamgouda Alagouda Kage,KAGWAD,INC,0,17 Crore+,0,KARNATAKA,Graduate
1478,Kottu Satyanarayana,TADEPALLIGUDEM,YSRCP,0,8 Crore+,1 Crore+,ANDHRA PRADESH,12th Pass
1479,Sarita Arya,NAINITAL(SC),BJP,0,55 Lac+,0,UTTARAKHAND,10th Pass
1480,Durlabhjibhai Harakhjibhai Dethariya,TANKARA,BJP,0,5 Crore+,1 Crore+,GUJARAT,10th Pass
1481,M. Sivasankar,OZHUKARAI,IND,0,9 Crore+,35 Lac+,PUDUCHERRY,Post Graduate
